_id,year,school_id,id,school_sp_id,is_important,special_id,spname,all,keywords,name,level1,school_nature,dual_class_name,f211,belong,level,school_type,admissions,type,province_name,code_enroll,central,_version_,province_id,department,f985
ObjectID(5cbf1db7c5935ec50c30890d),2019.0,487.0,"gkschoolspecial27236",27236.0,2.0,787.0,"软件技术（游戏开发技术方向）","[ ""软件技术（游戏开发技术方向）"", ""南阳师范学院"" ]","[ ""gkschoolspecial"" ]","南阳师范学院",2.0,36000.0,"",2.0,"河南省人民政府",2001.0,6000.0,2.0,5004.0,"河南",1048100.0,2.0,1.628077276635595e+18,41.0,2.0,2.0
ObjectID(5cbf1db7c5935ec50c30890e),2019.0,2048.0,"gkschoolspecial71366",71366.0,2.0,928.0,"游戏设计","[ ""游戏设计"", ""广东轻工职业技术学院"" ]","[ ""gkschoolspecial"" ]","广东轻工职业技术学院",2.0,36000.0,"",2.0,"广东省教育厅",2002.0,6001.0,2.0,5012.0,"广东",1083300.0,2.0,1.628077300089094e+18,44.0,2.0,2.0
ObjectID(5cbf1db7c5935ec50c30890f),2019.0,1106.0,"gkschoolspecial49583",49583.0,2.0,928.0,"游戏设计","[ ""游戏设计"", ""长江职业学院"" ]","[ ""gkschoolspecial"" ]","长江职业学院",2.0,36001.0,"",2.0,"湖北省教育厅",2002.0,6001.0,2.0,5001.0,"湖北",1095600.0,2.0,1.628077288033616e+18,42.0,2.0,2.0
ObjectID(5cbf1db7c5935ec50c308910),2019.0,2202.0,"gkschoolspecial75467",75467.0,2.0,928.0,"游戏设计","[ ""游戏设计"", ""苏州工艺美术职业技术学院"" ]","[ ""gkschoolspecial"" ]","苏州工艺美术职业技术学院",2.0,36000.0,"",2.0,"江苏省教育厅",2002.0,6001.0,2.0,5009.0,"江苏",1096000.0,2.0,1.628077304219435e+18,32.0,2.0,2.0
ObjectID(5cbf1db7c5935ec50c308911),2019.0,646.0,"gkschoolspecial34686",34686.0,2.0,928.0,"游戏设计","[ ""游戏设计"", ""深圳职业技术学院"" ]","[ ""gkschoolspecial"" ]","深圳职业技术学院",2.0,36000.0,"",2.0,"广东省教育厅",2002.0,6001.0,2.0,5000.0,"广东",1111300.0,2.0,1.628077280908542e+18,44.0,2.0,2.0
ObjectID(5cbf1db7c5935ec50c308912),2019.0,701.0,"gkschoolspecial36197",36197.0,2.0,928.0,"游戏设计","[ ""游戏设计"", ""石家庄职业技术学院"" ]","[ ""gkschoolspecial"" ]","石家庄职业技术学院",2.0,36000.0,"",2.0,"河北省教育厅",2002.0,6001.0,2.0,5000.0,"河北",1123800.0,2.0,1.628077281633108e+18,13.0,2.0,2.0
ObjectID(5cbf1db7c5935ec50c308913),2019.0,696.0,"gkschoolspecial35990",35990.0,2.0,787.0,"软件技术（手机游戏开发方向）","[ ""软件技术（手机游戏开发方向）"", ""张家口职业技术学院"" ]","[ ""gkschoolspecial"" ]","张家口职业技术学院",2.0,36000.0,"",2.0,"河北省教育厅",2002.0,6001.0,2.0,5001.0,"河北",1142300.0,2.0,1.628077281497842e+18,13.0,2.0,2.0
ObjectID(5cbf1db7c5935ec50c308914),2019.0,1867.0,"gkschoolspecial66571",66571.0,2.0,928.0,"游戏设计","[ ""游戏设计"", ""福州职业技术学院"" ]","[ ""gkschoolspecial"" ]","福州职业技术学院",2.0,36000.0,"",2.0,"福建省人民政府",2002.0,6001.0,2.0,5000.0,"福建",1150200.0,2.0,1.628077297725604e+18,35.0,2.0,2.0
ObjectID(5cbf1db7c5935ec50c308915),2019.0,893.0,"gkschoolspecial42375",42375.0,2.0,928.0,"游戏设计","[ ""游戏设计"", ""九江职业技术学院"" ]","[ ""gkschoolspecial"" ]","九江职业技术学院",2.0,36000.0,"",2.0,"江西省教育厅",2002.0,6001.0,2.0,5001.0,"江西",1178500.0,2.0,1.628077284435952e+18,36.0,2.0,2.0
ObjectID(5cbf1db7c5935ec50c308916),2019.0,1382.0,"gkschoolspecial55683",55683.0,2.0,928.0,"游戏设计","[ ""游戏设计"", ""海南职业技术学院"" ]","[ ""gkschoolspecial"" ]","海南职业技术学院",2.0,36000.0,"",2.0,"海南省教育厅",2002.0,6001.0,2.0,5000.0,"海南",1199900.0,2.0,1.628077291332436e+18,46.0,2.0,2.0
ObjectID(5cbf1db7c5935ec50c308917),2019.0,1999.0,"gkschoolspecial70258",70258.0,1.0,787.0,"软件技术（游戏软件开发方向）","[ ""软件技术（游戏软件开发方向）"", ""湖南科技职业学院"" ]","[ ""gkschoolspecial"" ]","湖南科技职业学院",2.0,36000.0,"",2.0,"湖南省教育厅",2002.0,6001.0,2.0,5000.0,"湖南",1230400.0,2.0,1.62807729944422e+18,43.0,2.0,2.0
