企业类型:全部,资本运作:全部,公司规模:全部,年营业额:全部
企业省份,企业数量,游戏数量,版号数量,代表人物
北京,787,2249,2249,78
广东,489,1622,1622,35
上海,438,1186,1186,27
浙江,183,736,736,4
江苏,123,529,529,2
四川,109,198,198,3
福建,87,130,130,6
湖北,53,186,186,0
天津,30,29,29,1
重庆,25,36,36,0
湖南,25,75,75,1
辽宁,20,39,39,0
陕西,20,24,24,0
安徽,19,48,48,2
山东,17,19,19,1
河南,16,25,25,0
海南,15,41,41,0
江西,11,87,87,0
河北,11,71,71,0
新疆,11,17,17,0
吉林,10,57,57,0
台湾,10,0,0,0
黑龙江,9,40,40,0
贵州,6,13,13,0
广西,5,23,23,0
宁夏,3,2,2,0
甘肃,3,4,4,0
云南,2,2,2,0
内蒙古,0,0,0,0
澳门,0,0,0,0
香港,0,0,0,0
西藏,0,0,0,0
青海,0,0,0,0
山西,0,0,0,0
